sample_id,acid,conc_gL,day,inoc,T,feedstock,pH,rep,inoc_T,T_inoc,inoc_pH,T_pH,pH_inoc,feedstock_T
B_45_F_5_A_D1,C4,0,1.7,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_C_D1,C4,0,1.7,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_7_B_D1,ISOC5,0,1.7,B,35,F,7,B,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_35_F_5_A_D1,ISOC5,0.001714065,1.7,B,35,F,5,A,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_9_C_D1,C3,0.002854182,1.7,B,45,F,9,C,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_35_F_5_B_D1,ISOC5,0.025440485,1.7,B,35,F,5,B,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_5_A_D1,C5,0.039146234,1.7,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_9_C_D1,ISOC4,0.04051329,1.7,B,45,F,9,C,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_9_B_D1,C3,0.050302085,1.7,B,45,F,9,B,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_35_F_7_A_D1,ISOC5,0.053505361,1.7,B,35,F,7,A,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_35_F_7_A_D1,ISOC4,0.05433288,1.7,B,35,F,7,A,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_35_F_7_B_D1,ISOC4,0.05433288,1.7,B,35,F,7,B,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_45_F_9_C_D1,ISOC5,0.055275615,1.7,B,45,F,9,C,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_9_A_D1,C3,0.055954166,1.7,B,45,F,9,A,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_5_C_D1,C5,0.058157155,1.7,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_7_C_D1,ISOC5,0.058182841,1.7,B,45,F,7,C,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_45_F_9_A_D1,ISOC4,0.064569613,1.7,B,45,F,9,A,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_35_F_9_C_D1,ISOC5,0.07119796,1.7,B,35,F,9,C,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_45_F_7_C_D1,ISOC4,0.074806346,1.7,B,45,F,7,C,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_35_F_9_B_D1,ISOC4,0.077524946,1.7,B,35,F,9,B,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_9_A_D1,ISOC4,0.077942322,1.7,B,35,F,9,A,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_45_F_9_B_D1,ISOC4,0.078359698,1.7,B,45,F,9,B,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_35_F_9_A_D1,C3,0.078695871,1.7,B,35,F,9,A,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_7_C_D1,ISOC4,0.082533459,1.7,B,35,F,7,C,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_35_F_9_C_D1,ISOC4,0.082533459,1.7,B,35,F,9,C,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_9_B_D1,ISOC5,0.082628235,1.7,B,35,F,9,B,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_45_F_7_A_D1,ISOC4,0.086707221,1.7,B,45,F,7,A,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_45_F_7_B_D1,ISOC4,0.086707221,1.7,B,45,F,7,B,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_35_F_7_C_D1,ISOC5,0.090248418,1.7,B,35,F,7,C,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_35_F_9_A_D1,ISOC5,0.090248418,1.7,B,35,F,9,A,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_45_F_5_C_D1,C3,0.090845038,1.7,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_9_C_D1,C4,0.092703121,1.7,B,35,F,9,C,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_45_F_7_A_D1,ISOC5,0.094058509,1.7,B,45,F,7,A,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_45_F_9_A_D1,ISOC5,0.095602675,1.7,B,45,F,9,A,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_9_B_D1,ISOC5,0.109298875,1.7,B,45,F,9,B,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_5_A_D1,C3,0.123230423,1.7,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_9_B_D1,C4,0.130373625,1.7,B,35,F,9,B,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_9_A_D1,C4,0.13213943,1.7,B,35,F,9,A,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_5_A_D1,C3,0.154455343,1.7,B,35,F,5,A,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_5_B_D1,C6,0.156030811,1.7,B,45,F,5,B,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_9_C_D1,C4,0.158767238,1.7,B,45,F,9,C,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_5_C_D1,C6,0.166318069,1.7,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_9_B_D1,C3,0.166458483,1.7,B,35,F,9,B,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_45_F_5_A_D1,C6,0.17432205,1.7,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_5_C_D1,C3,0.178719436,1.7,B,35,F,5,C,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_35_F_5_A_D1,C2,0.179591861,1.7,B,35,F,5,A,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_35_F_5_B_D1,C3,0.193465251,1.7,B,35,F,5,B,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_5_B_D1,C2,0.210173553,1.7,B,45,F,5,B,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_5_C_D1,C2,0.256561201,1.7,B,35,F,5,C,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_9_B_D1,C4,0.261043188,1.7,B,45,F,9,B,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_5_A_D1,C2,0.265040706,1.7,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_7_A_D1,C3,0.295521147,1.7,B,45,F,7,A,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_35_F_5_B_D1,C2,0.29629508,1.7,B,35,F,5,B,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_35_F_9_D_D1,C2,0.316310014,1.7,B,35,Control,9,D,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,Control_35
B_35_F_7_A_D1,C3,0.32003018,1.7,B,35,F,7,A,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_35_F_7_C_D1,C3,0.358116539,1.7,B,35,F,7,C,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_45_F_7_B_D1,C4,0.364637076,1.7,B,45,F,7,B,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_35_F_7_B_D1,C3,0.366965713,1.7,B,35,F,7,B,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_35_F_9_C_D1,C3,0.372313432,1.7,B,35,F,9,C,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_45_F_7_C_D1,C3,0.37339269,1.7,B,45,F,7,C,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_45_F_5_B_D1,C7,0.377124014,1.7,B,45,F,5,B,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_A_D1,C7,0.387615481,1.7,B,45,F,5,A,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_9_A_D1,C4,0.387857456,1.7,B,45,F,9,A,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_7_B_D1,C3,0.451041658,1.7,B,45,F,7,B,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_45_F_5_C_D1,C7,0.492001687,1.7,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_C_D1,C2,0.550189343,1.7,B,45,F,5,C,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_35_F_7_A_D1,C4,0.571810674,1.7,B,35,F,7,A,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_45_F_7_A_D1,C2,0.670724105,1.7,B,45,F,7,A,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_45_F_7_B_D1,C2,0.70258279,1.7,B,45,F,7,B,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_35_F_7_B_D1,C4,0.713090966,1.7,B,35,F,7,B,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_45_F_7_A_D1,C4,0.769595001,1.7,B,45,F,7,A,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_45_F_7_C_D1,C2,0.784553278,1.7,B,45,F,7,C,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_35_F_9_B_D1,C2,0.798158845,1.7,B,35,F,9,B,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_45_F_7_C_D1,C4,0.838058753,1.7,B,45,F,7,C,B_45 ,45_B,B_pH_7,45_pH_7,pH_7_B,F_45
B_35_F_5_C_D1,C4,0.869657279,1.7,B,35,F,5,C,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_35_F_7_C_D1,C4,0.98149159,1.7,B,35,F,7,C,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_35_F_5_A_D1,C4,1.0028072,1.7,B,35,F,5,A,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_35_F_9_A_D1,C2,1.140639708,1.7,B,35,F,9,A,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_9_C_D1,C2,1.140639708,1.7,B,35,F,9,C,B_35 ,35_B,B_pH_9,35_pH_9,pH_9_B,F_35
B_35_F_5_B_D1,C4,1.207175409,1.7,B,35,F,5,B,B_35 ,35_B,B_pH_5,35_pH_5,pH_5_B,F_35
B_45_F_9_B_D1,C2,1.379579845,1.7,B,45,F,9,B,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_9_C_D1,C2,1.387568701,1.7,B,45,F,9,C,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_45_F_9_A_D1,C2,1.575531559,1.7,B,45,F,9,A,B_45 ,45_B,B_pH_9,45_pH_9,pH_9_B,F_45
B_35_F_7_B_D1,C2,1.702380239,1.7,B,35,F,7,B,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_35_F_7_C_D1,C2,2.176046969,1.7,B,35,F,7,C,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_35_F_7_A_D1,C2,2.259093036,1.7,B,35,F,7,A,B_35 ,35_B,B_pH_7,35_pH_7,pH_7_B,F_35
B_45_F_5_B_D2,C4,0,4.8,B,45,F,5,B,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,F_45
B_45_F_5_D_D2,C4,0,4.8,B,45,Control,5,D,B_45 ,45_B,B_pH_5,45_pH_5,pH_5_B,Control_45
